'sample #',amp,amp2,time
0,932,1050,0
1,932,1050,2.777
2,932,1050,5.554
3,932,1050,8.331
4,932,1050,11.108
5,932,1050,13.885
6,932,1050,16.662
7,932,1050,19.439
8,933,1050,22.216
9,933,1052,24.993
10,936,1052,27.77
11,937,1053,30.547
12,938,1049,33.324
13,935,1048,36.101
14,936,1047,38.878
15,937,1050,41.655
16,939,1052,44.432
17,941,1053,47.209
18,938,1052,49.986
19,937,1049,52.763
20,930,1048,55.54
21,933,1050,58.317
22,941,1051,61.094
23,939,1050,63.871
24,936,1047,66.648
25,935,1046,69.425
26,937,1046,72.202
27,937,1052,74.979
28,939,1054,77.756
29,940,1052,80.533
30,938,1049,83.31
31,936,1049,86.087
32,932,1049,88.864
33,937,1049,91.641
34,937,1053,94.418
35,941,1052,97.195
36,939,1051,99.972
37,937,1048,102.749
38,937,1048,105.526
39,937,1050,108.303
40,941,1052,111.08
41,942,1052,113.857
42,938,1046,116.634
43,937,1046,119.411
44,934,1046,122.188
45,938,1047,124.965
46,943,1048,127.742
47,942,1049,130.519
48,941,1048,133.296
49,939,1045,136.073
50,936,1046,138.85
51,938,1047,141.627
52,941,1050,144.404
53,941,1049,147.181
54,941,1047,149.958
55,937,1044,152.735
56,937,1045,155.512
57,938,1047,158.289
58,941,1051,161.066
59,943,1049,163.843
60,942,1046,166.62
61,936,1046,169.397
62,936,1045,172.174
63,939,1047,174.951
64,942,1049,177.728
65,942,1049,180.505
66,941,1046,183.282
67,939,1041,186.059
68,937,1043,188.836
69,938,1045,191.613
70,940,1049,194.39
71,944,1048,197.167
72,942,1046,199.944
73,939,1042,202.721
74,938,1044,205.498
75,938,1046,208.275
76,942,1049,211.052
77,943,1046,213.829
78,943,1045,216.606
79,941,1044,219.383
80,938,1043,222.16
81,937,1046,224.937
82,939,1051,227.714
83,945,1049,230.491
84,944,1045,233.268
85,943,1044,236.045
86,941,1045,238.822
87,942,1047,241.599
88,943,1048,244.376
89,945,1050,247.153
90,943,1044,249.93
91,941,1044,252.707
92,941,1043,255.484
93,941,1046,258.261
94,945,1049,261.038
95,945,1047,263.815
96,946,1044,266.592
97,944,1043,269.369
98,943,1044,272.146
99,944,1046,274.923
100,944,1050,277.7
101,947,1050,280.477
102,947,1048,283.254
103,943,1047,286.031
104,944,1047,288.808
105,947,1051,291.585
106,950,1054,294.362
107,955,1056,297.139
108,953,1051,299.916
109,953,1050,302.693
110,953,1049,305.47
111,956,1053,308.247
112,960,1053,311.024
113,965,1052,313.801
114,963,1047,316.578
115,960,1041,319.355
116,960,1041,322.132
117,962,1043,324.909
118,968,1043,327.686
119,969,1040,330.463
120,967,1039,333.24
121,964,1038,336.017
122,963,1039,338.794
123,963,1042,341.571
124,966,1043,344.348
125,969,1044,347.125
126,967,1042,349.902
127,963,1039,352.679
128,959,1042,355.456
129,960,1045,358.233
130,957,1045,361.01
131,957,1043,363.787
132,952,1040,366.564
133,951,1038,369.341
134,951,1038,372.118
135,952,1042,374.895
136,954,1045,377.672
137,953,1042,380.449
138,950,1041,383.226
139,953,1039,386.003
140,950,1040,388.78
141,953,1044,391.557
142,953,1047,394.334
143,953,1046,397.111
144,954,1042,399.888
145,953,1040,402.665
146,952,1040,405.442
147,952,1043,408.219
148,954,1049,410.996
149,957,1047,413.773
150,958,1043,416.55
151,957,1042,419.327
152,955,1046,422.104
153,958,1053,424.881
154,962,1059,427.658
155,962,1066,430.435
156,963,1074,433.212
157,957,1079,435.989
158,949,1078,438.766
159,944,1082,441.543
160,941,1080,444.32
161,940,1069,447.097
162,946,1053,449.874
163,954,1031,452.651
164,984,1009,455.428
165,1042,990,458.205
166,1122,978,460.982
167,1216,965,463.759
168,1302,965,466.536
169,1375,971,469.313
170,1422,987,472.09
171,1442,1011,474.867
172,1434,1023,477.644
173,1368,1032,480.421
174,1240,1030,483.198
175,1112,1025,485.975
176,984,1027,488.752
177,896,1034,491.529
178,905,1041,494.306
179,926,1045,497.083
180,932,1044,499.86
181,925,1042,502.637
182,921,1041,505.414
183,924,1044,508.191
184,931,1045,510.968
185,936,1049,513.745
186,938,1047,516.522
187,949,1045,519.299
188,955,1046,522.076
189,963,1050,524.853
190,966,1052,527.63
191,974,1050,530.407
192,974,1047,533.184
193,970,1046,535.961
194,967,1046,538.738
195,968,1048,541.515
196,973,1048,544.292
197,977,1048,547.069
198,973,1046,549.846
199,972,1044,552.623
200,973,1045,555.4
201,974,1049,558.177
202,975,1051,560.954
203,978,1050,563.731
204,978,1046,566.508
205,974,1047,569.285
206,972,1047,572.062
207,974,1048,574.839
208,979,1050,577.616
209,981,1050,580.393
210,980,1049,583.17
211,976,1044,585.947
212,977,1045,588.724
213,977,1046,591.501
214,982,1050,594.278
215,985,1046,597.055
216,984,1045,599.832
217,981,1044,602.609
218,981,1046,605.386
219,982,1047,608.163
220,985,1049,610.94
221,985,1047,613.717
222,982,1046,616.494
223,980,1045,619.271
224,981,1045,622.048
225,985,1047,624.825
226,989,1050,627.602
227,991,1048,630.379
228,987,1045,633.156
229,986,1047,635.933
230,985,1045,638.71
231,985,1045,641.487
232,989,1050,644.264
233,990,1050,647.041
234,992,1046,649.818
235,990,1043,652.595
236,986,1045,655.372
237,989,1049,658.149
238,994,1052,660.926
239,997,1049,663.703
240,996,1047,666.48
241,997,1046,669.257
242,995,1046,672.034
243,998,1047,674.811
244,1001,1050,677.588
245,1003,1047,680.365
246,1004,1047,683.142
247,1004,1045,685.919
248,1001,1045,688.696
249,1005,1047,691.473
250,1012,1051,694.25
251,1014,1047,697.027
252,1013,1047,699.804
